49547, 2012, 922.2350894632207, 40, 191.475,0,0, 1973, 936.566142929549
1692263, 2, 633.0,0,0,0,0, 2, 633.0
1070990, 142, 503.5281690140845, 2, 73.0,0,0, 140, 509.67857142857144
2010277, 5, 2202.0,0,0,0,0, 5, 2202.0
68416, 5, 1075.8,0,0,0,0, 5, 1075.8
1636255, 68, 523.5441176470588,0,0,0,0, 68, 523.5441176470588
269213, 4, 1816.5,0,0,0,0, 4, 1816.5
930943, 2925, 824.2663247863247, 62, 134.01612903225808,0,0, 2692, 844.4186478454681
911124, 1903, 934.4913294797688, 42, 188.45238095238096,0,0, 1862, 950.798066595059
445686, 324, 701.2777777777778, 5, 75.0,0,0, 319, 711.0940438871473
207240, 8, 655.5,0,0,0,0, 8, 655.5
121845, 20017, 8711.583054403756, 114148, 254.12842099730176, 20622, 9249.307293182039, 104799, 216.28416301682267
1495285, 287, 559.0731707317074, 8, 77.125,0,0, 279, 572.8924731182796
312295, 7, 1327.5714285714287,0,0,0,0, 8, 1161.75
1923150, 3, 4200.0,0,0,0,0, 3, 4200.0
220932, 6, 553.0,0,0,0,0, 6, 553.0
1608083, 3, 5805.0,0,0,0,0, 3, 5805.0
333923, 8, 1063.125,0,0,0,0, 8, 1063.125
362398, 3, 2223.0,0,0,0,0, 3, 2223.0
1335626, 10, 2984.6,0,0,0,0, 12, 3585.25
160844, 6, 1386.5,0,0,0,0, 6, 1386.5
1923689, 4, 1498.5,0,0,0,0, 4, 1498.5
12506, 3, 3718.0,0,0,0,0, 3, 3718.0
1544719, 3890, 866.8025706940874, 58, 143.5344827586207,0,0, 3834, 877.2749087115284
1623687, 4, 1234.25,0,0,0,0, 5, 886.8
755272, 265, 744.566037735849, 7, 80.42857142857143,0,0, 253, 749.1225296442688
1922483, 1, 3009.0,0,0,0,0, 1, 3009.0
1230452, 3662, 853.4371927908247, 63, 107.5079365079365,0,0, 3601, 865.9838933629547
1923293, 3, 905.0,0,0,0,0, 3, 905.0
1923320, 1, 3054.0,0,0,0,0, 1, 3054.0
1923492, 3, 3302.0,0,0,0,0, 3, 3302.0
1434319, 130, 634.9538461538461, 1, 74.0,0,0, 131, 620.0381679389313
1522059, 3, 2994.6666666666665,0,0,0,0, 4, 2245.5
717944, 14572, 1754.9453060664287, 83359, 240.28134934440192, 14303, 1786.3776830035656, 80623, 224.30094389938355
1655660, 5, 826.2,0,0,0,0, 5, 826.2
91411, 10708, 11755.199850579007, 188992, 337.9721734253302, 19297, 19448.021195004403, 169976, 251.23692168306113
35286, 6, 1082.0,0,0,0,0, 6, 1082.0
1352235, 5, 1125.0,0,0,0,0, 5, 1125.0
990280, 3, 3731.0,0,0,0,0, 3, 3731.0
1379717, 2, 1204.5,0,0,0,0, 3, 779.0
763998, 88, 683.5909090909091,0,0,0,0, 88, 683.5909090909091
1647924, 7, 1016.1428571428571,0,0,0,0, 7, 1016.1428571428571
390442, 6, 553.0,0,0,0,0, 6, 553.0
12317, 5, 1578.0,0,0,0,0, 5, 1578.0
